product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
24,Розмарин сушеный,3785,839,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2022-02-11,2029-01-11,0.24,Pending
25,Портулак,1300,740,Овощи,"Является источником важных микроэлементов, таких как магний и калий.",2003-08-10,2018-03-07,1.63,Delivered
26,Новотерская,1981,241,Напитки,"Обладает мягким вкусом, который нравится многим потребителям.",1997-02-08,2020-01-03,0.36,Delivered
27,Кукуруза консервированная,4415,779,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1991-01-05,1993-08-18,0.22,Available for Pickup
28,Репа,5717,355,Овощи,Отличается натуральным составом и отсутствием искусственных добавок.,1990-08-20,2006-01-06,3.43,Delivered
29,Джем,3316,484,Бакалея,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2006-01-10,2011-05-05,4.24,Shipping
30,Каша из дробленой ячменя,4203,177,Бакалея,"Богат кальцием, необходимым для укрепления костей и зубов.",1999-02-23,2007-10-06,4.19,Shipping
31,Каша из кукурузной муки,1493,564,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1990-02-03,1992-02-15,3.19,New
32,Энчиладас с мясом,6448,679,Мясо,"Подходит для приготовления как горячих, так и холодных блюд.",2021-05-06,2026-02-26,4.61,Out of Stock
33,Темный шоколад,3139,790,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2017-07-17,2021-01-09,4.35,Returned
34,Evian,9717,378,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1991-05-01,2023-07-15,4.25,Out of Stock
35,Шпик,2838,85,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2015-05-06,2027-07-22,1.56,Cancelled
36,Малина,5536,180,Фрукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2010-08-02,2012-04-05,0.34,Out of Stock
37,Пакеты для благотворительного мероприятия,3392,790,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,1991-01-15,2029-04-01,0.23,Available for Pickup
38,Персик,573,994,Фрукты,Может использоваться в детском питании начиная с раннего возраста.,2011-02-23,2020-08-28,2.03,Shipping
39,Гауда,8573,759,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2006-01-21,2016-06-05,2.66,New
40,Сельдерей,7619,776,Овощи,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2014-02-25,2023-03-02,4.72,Cancelled
41,Квас хлебный,5615,341,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,1993-01-22,2018-04-26,4.53,Returned
42,Пакеты для Дня Победы,4985,243,Товары для дома,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2017-06-01,2018-04-02,0.92,In Stock
43,Гусиные потроха,457,544,Мясо,Отличается низкой калорийностью и высоким содержанием белка.,2013-05-14,2025-03-03,0.78,Pending
44,Пакет для хранения продуктов,1178,285,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2012-04-10,2022-01-18,2.49,Out of Stock
45,Простокваша,4688,776,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2020-04-02,2028-06-03,0.14,New
46,Северянка,6953,700,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2015-06-06,2024-11-10,2.42,Pending
47,Черешня,9355,65,Фрукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2010-01-10,2029-02-05,0.66,Delivered
48,Пакет для заморозки,2221,116,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2012-02-03,2014-06-27,1.11,Delivered
49,Зельц,8011,42,Мясо,Помогает поддерживать нормальный уровень сахара в крови.,2021-03-02,2029-01-11,3.63,Backorder
50,Цукини,2131,907,Овощи,"Является источником важных нутриентов, необходимых для роста и развития детей.",2020-01-02,2027-04-05,1.28,Awaiting Payment
51,Тушенка,2446,801,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2012-04-10,2030-02-06,0.41,In Stock
52,Фарш индюшиный,8589,214,Мясо,Помогает предотвратить дефицит витаминов и минералов в организме.,2013-08-07,2020-02-04,2.44,Backorder
53,Нектарин,1327,616,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2000-07-04,2022-08-06,3.96,Shipping
54,Нектарин,1181,751,Фрукты,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2003-10-01,2015-02-28,1.28,Sold
55,Пепперони,895,626,Мясо,"Является источником антиоксидантов, замедляющих процессы старения.",1998-02-07,2000-01-04,3.61,Out of Stock
56,Пиво безалкогольное,2727,662,Напитки,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2003-06-06,2028-04-18,2.94,New
57,Пакеты для концерта,2184,100,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,2016-01-10,2024-03-07,1.96,New
58,Глинтвейн,1174,883,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-01-03,2028-03-01,2.25,Shipping
59,Каймак,3176,552,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2018-03-08,2023-03-13,1.8,Returned
60,Ямс,1981,491,Овощи,Поддерживает иммунитет и общее состояние здоровья.,2002-01-03,2029-11-13,0.24,Cancelled
61,Кабанятина,7736,162,Мясо,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-03-14,2022-04-03,1.46,Out of Stock
62,Пакеты для животных,481,440,Товары для дома,Подходит для использования в диетических программах для похудения.,1992-11-17,2028-01-20,0.57,Backorder
63,Йогурт,7441,847,Молочные продукты,"Помогает улучшить состояние волос, ногтей и кожи.",2016-08-03,2026-04-09,1.75,Refunded
64,Клюква,4130,148,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,2006-04-12,2013-03-02,1.7,Cancelled
65,Слива,7316,183,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2005-04-14,2015-03-03,1.62,Temporarily Unavailable
66,Марьинская,4965,709,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2002-02-06,2014-01-12,2.03,Delivered
67,Персик,9748,988,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2003-03-01,2012-04-03,0.35,Shipping
68,Лавровый лист сушеный,9421,56,Бакалея,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2018-05-13,2018-09-08,2.96,Pending
69,Блины с мясом,8928,350,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2022-02-07,2026-04-02,4.95,Awaiting Review
70,Брокколи,2460,284,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1994-09-21,2001-01-07,2.39,Returned
71,Чеддер,8457,868,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-04-02,2014-09-02,1.49,Sold
72,Молочный шоколад,8584,410,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1992-06-06,2008-04-06,0.8,Available for Pickup
73,Турнепс,2743,491,Овощи,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2021-07-04,2029-06-20,2.88,Awaiting Payment
74,Сырой арахис,7554,456,Бакалея,Поддерживает иммунитет и общее состояние здоровья.,1990-01-03,2011-04-19,2.74,Delivered
75,Бекон,924,507,Мясо,Поддерживает иммунитет и общее состояние здоровья.,2017-02-18,2020-04-05,1.22,Awaiting Review
76,Кабачок,5533,874,Овощи,Отличается хорошим сочетанием с различными специями и приправами.,2013-02-08,2029-07-02,1.3,Temporarily Unavailable
77,Lipton Ice Tea,4821,410,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1995-01-02,2021-11-02,3.25,Cancelled
78,Домашние колбасы,2203,730,Мясо,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2012-10-19,2024-01-01,3.71,Returned
79,Хлебопечка,3396,495,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2007-08-08,2016-01-21,3.88,Awaiting Review
80,Сельдерей,3833,471,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2020-05-06,2028-01-13,3.74,Delivered
81,Сметана,6567,793,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2003-01-09,2015-05-07,2.6,New
82,Сельдерей,154,839,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2017-05-04,2018-01-18,0.73,Awaiting Review
83,Патиссон,3065,986,Овощи,Может использоваться в вегетарианской диете как источник белка.,2013-02-04,2016-06-10,0.43,In Stock
84,Пена для бритья,7012,737,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2002-01-11,2021-01-05,1.74,Out of Stock
85,Гамбургеры,3246,380,Мясо,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1993-03-14,2011-01-01,0.38,Sold
86,Топинамбур,9369,987,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,2018-01-23,2018-03-05,3.59,Cancelled
87,Печень,542,773,Мясо,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1999-01-06,2012-02-07,2.13,Out of Stock
88,Сердце,7078,385,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2015-06-01,2018-05-05,0.46,Backorder
89,Каша из дробленой ячменя,8818,866,Бакалея,Широко используется в традиционной и современной кухне.,1997-07-08,2029-04-14,0.6,Awaiting Review
90,Масло оливковое,306,719,Бакалея,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2021-06-22,2029-09-11,2.8,Available for Pickup
91,Бумажные полотенца,3340,934,Товары для дома,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1993-06-07,2030-01-01,4.15,Sold
92,Консервированные бобы,3906,468,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-02-28,2020-03-13,4.16,Returned
93,Кетчуп,3619,493,Бакалея,Помогает поддерживать нормальный уровень глюкозы в крови.,1990-01-02,2005-02-12,0.2,Delivered
94,Брынза,7766,204,Молочные продукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-10-02,2012-02-08,3.0,Pending
95,Брокколи,5091,380,Овощи,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2007-02-06,2012-01-08,0.12,Refunded
96,Ряженка,8661,703,Молочные продукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2022-08-07,2028-02-11,0.1,Temporarily Unavailable
97,Банан,6585,565,Фрукты,Подходит для людей с чувствительным пищеварением.,2009-01-10,2022-04-11,2.33,Awaiting Review
98,Молоко,250,605,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-02-22,2015-04-05,0.15,Pending
99,Кастрюли,1046,894,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2022-01-07,2025-07-01,1.56,Sold
100,Топлёное молоко,4914,74,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2016-07-17,2029-07-05,1.59,Available for Pickup
101,Творог,8628,141,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,2018-01-08,2020-01-16,4.29,Pending
102,Топлёное молоко,6829,927,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,2016-05-01,2028-06-16,4.97,Awaiting Review
103,Топлёное молоко,4158,921,Молочные продукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,1998-06-06,2017-09-01,4.7,Backorder
104,Уксус,5342,133,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2007-01-05,2028-02-23,2.18,Awaiting Payment
105,Сельдерей,3790,886,Овощи,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-02-14,2020-01-11,1.8,Out of Stock
106,Пахта,3704,206,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1995-06-04,2004-01-06,1.23,Refunded
107,Пармезан,5539,83,Молочные продукты,Может использоваться в вегетарианской диете как источник белка.,1994-02-25,2022-07-01,2.9,Delivered
108,Пакеты для офиса,9140,621,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1996-12-11,2013-02-07,1.12,New
109,Пакеты для детских вещей,9252,422,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",2005-02-02,2020-02-16,4.97,Refunded
110,Эмменталь,1516,65,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,1997-04-16,2019-01-02,4.79,Delivered
111,Йогурт,6503,997,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2022-05-20,2024-02-09,2.75,On Backorder
112,Буженина,594,637,Мясо,Прошел сертификацию на соответствие требованиям органических стандартов.,1997-02-01,2008-04-06,2.97,Available for Pickup
113,Пакеты для походов,8458,71,Товары для дома,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1998-04-06,2016-05-07,0.76,Awaiting Review
114,Чеснок,1848,910,Овощи,Помогает поддерживать нормальный уровень энергии и выносливости.,1998-04-03,2019-11-07,1.52,Shipping
115,Окра,1863,44,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1991-09-03,2024-01-05,1.93,Delivered
116,Моцарелла,8154,713,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2014-04-02,2022-08-01,2.33,Temporarily Unavailable
117,Сушеные грибы,3675,456,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1999-02-08,2024-01-01,1.16,Awaiting Payment
118,Латте,599,48,Напитки,Используется в косметологии для ухода за кожей и волосами.,2002-07-06,2025-01-06,3.04,On Backorder
119,Ласси,7947,770,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2018-07-01,2024-03-08,2.94,Out of Stock
120,Козлятина,1652,22,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2002-03-01,2011-01-02,3.75,Shipping
121,Пастернак,7133,501,Овощи,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1996-03-01,2028-01-04,4.88,Awaiting Review
122,Портулак,228,259,Овощи,Помогает укреплять стенки сосудов и улучшать кровообращение.,2008-01-03,2020-01-03,1.66,Returned
123,Катык,7117,11,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2022-02-26,2028-04-16,0.42,On Backorder
124,Робот-пылесос,8300,525,Товары для дома,Часто рекомендуется врачами-диетологами как часть здорового питания.,1995-09-04,2001-01-06,0.16,Cancelled
125,Пакеты для лекарств,5708,900,Товары для дома,Отличается хорошей совместимостью с другими продуктами питания.,2002-01-10,2007-03-01,1.48,Pending
126,Кефир,7981,37,Молочные продукты,Широко используется в традиционной и современной кухне.,2010-01-06,2016-02-14,2.71,Refunded
127,Папайя,5911,832,Фрукты,Является неотъемлемой частью рациона многих народов мира.,1993-01-05,2020-04-14,2.48,Returned
128,Чеддер,6367,521,Молочные продукты,Представляет собой ценный источник питательных веществ для растущего организма.,1998-01-05,2019-02-12,1.88,In Stock
129,Пакеты для Рождества,4572,312,Товары для дома,Помогает нормализовать артериальное давление и уровень холестерина.,2000-02-05,2020-01-01,0.81,Refunded
130,Кавказская,8082,850,Напитки,Рекомендуется для ежедневного потребления в умеренных количествах.,1998-02-01,2019-01-15,3.29,Pending
131,Буррито с мясом,1075,425,Мясо,Помогает поддерживать нормальный уровень артериального давления.,2022-01-01,2030-04-01,1.48,Out of Stock
132,Фейхоа,7366,360,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,1992-02-19,2001-05-13,2.8,Temporarily Unavailable
133,Свинина,3832,855,Мясо,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2009-06-02,2018-05-02,2.72,Out of Stock
134,Горчица зерновая,8264,782,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2022-04-12,2025-01-08,0.33,Temporarily Unavailable
135,Манго,9817,962,Фрукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1997-01-15,2006-01-23,3.16,Available for Pickup
136,Ласси,2726,608,Молочные продукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1999-10-10,2009-02-03,4.18,Temporarily Unavailable
137,Бритвенный станок,4852,610,Товары для дома,Прошел проверку на соответствие экологическим нормам и стандартам.,1996-02-07,2010-01-05,0.02,In Stock
138,Морковь,7413,808,Овощи,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2000-06-24,2020-07-11,0.2,Temporarily Unavailable
139,Тан,2535,797,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2008-08-01,2030-05-01,3.33,Shipping
140,Пакеты для свадьбы,6000,873,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1990-06-07,2021-02-08,1.64,Backorder
141,Репа,513,301,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,2001-05-13,2021-03-22,1.57,Available for Pickup
142,Лимон,1675,185,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,1997-04-13,2004-04-02,4.98,Awaiting Payment
143,Коктебельская,9972,175,Напитки,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1994-02-08,2019-04-04,3.29,New
144,Ведро для мытья полов,7971,292,Товары для дома,Прошел сертификацию на соответствие требованиям органических стандартов.,2013-01-03,2022-12-05,3.38,Awaiting Payment
145,Пакеты для Всемирного дня воды,5579,429,Товары для дома,"Обладает мягким вкусом, который нравится многим потребителям.",2022-05-09,2030-02-09,4.3,Cancelled
146,Каша из кускуса,9818,517,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1991-01-11,2025-05-05,2.95,Delivered
147,Легкое,8134,168,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2007-09-02,2021-01-08,0.14,Sold
148,Айва,984,981,Фрукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2019-01-23,2021-11-14,2.39,Backorder
149,Пакеты для Всемирного дня здоровья,1306,229,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2005-01-03,2005-09-03,3.07,Available for Pickup
150,Кокос,1478,47,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2004-04-09,2019-02-08,4.56,Backorder
151,Кабан,4433,831,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2009-04-13,2013-04-01,1.77,In Stock
152,Ласси,5789,491,Молочные продукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1996-01-08,2028-03-01,4.36,Pending
153,Сметана,490,805,Молочные продукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2011-06-13,2020-02-13,1.82,Sold
154,Пакеты для спортзала,5246,58,Товары для дома,Придает блюдам особую нежность и насыщенность.,1999-04-15,2030-02-03,1.3,Sold
155,Соль,7616,819,Бакалея,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-04-01,2023-01-20,1.19,Shipping
156,Шпик,7735,780,Мясо,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2005-01-26,2006-03-07,4.25,Shipping
157,Турнепс,5057,52,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-03-19,2029-05-10,4.11,Awaiting Review
158,Растительное масло горчичное,422,870,Бакалея,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2021-04-08,2030-04-05,4.35,On Backorder
159,Клубника,5901,566,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",2007-04-14,2023-03-07,2.13,Awaiting Payment
160,Горох,8382,604,Овощи,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2012-03-10,2015-04-20,4.09,Refunded
161,Черный перец горошком,2086,559,Бакалея,Используется в косметологии для ухода за кожей и волосами.,2011-08-10,2022-01-06,4.49,Delivered
162,Сервелат,2040,978,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2021-01-26,2025-01-09,0.23,On Backorder
163,Горох,9797,993,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,1990-05-19,1991-07-02,0.55,Delivered
164,Нафтуся,4869,924,Напитки,Помогает поддерживать оптимальный вес и форму тела.,2020-03-09,2023-03-02,2.53,Awaiting Review
165,Зеленый перец молотый,1852,705,Бакалея,Помогает нормализовать артериальное давление и уровень холестерина.,2004-02-24,2010-04-15,4.51,Delivered
166,Топлёное молоко,7893,1,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2018-01-17,2025-01-01,3.84,Delivered
167,Чиа семена,5319,674,Бакалея,Служит основой для создания множества кулинарных шедевров.,2010-01-06,2011-01-01,0.34,Shipping
168,Свекла,9155,316,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",1996-01-16,2028-09-06,1.92,Out of Stock
169,Абрикос,4574,758,Фрукты,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1998-02-01,2016-01-04,1.71,Temporarily Unavailable
170,Парфюм,9618,684,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-07-04,2025-01-02,4.7,In Stock
171,Фольга алюминиевая,2250,972,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2016-02-08,2023-04-17,1.34,Out of Stock
172,Ножи столовые,125,270,Товары для дома,"Отличается длительным сроком годности, что позволяет делать запасы.",1995-01-09,2019-09-06,1.89,Shipping
173,Мацони,7182,321,Молочные продукты,Может использоваться в косметических процедурах для увлажнения кожи.,1995-12-09,2024-05-01,1.98,Awaiting Review
174,Солонина,3022,544,Мясо,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2017-01-02,2022-03-09,4.94,Backorder
175,Термосы,903,849,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2021-05-04,2028-01-02,1.88,In Stock
176,Сельдерей,5651,24,Овощи,Отличается натуральным составом и отсутствием искусственных добавок.,1998-06-07,2024-05-27,2.88,Available for Pickup
177,"Сухофрукты (изюм, курага, чернослив)",583,790,Бакалея,Подходит для людей с чувствительным пищеварением.,2015-03-23,2021-06-04,0.66,Delivered
178,Люберецкая,7592,558,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2015-01-02,2029-01-03,1.26,Temporarily Unavailable
179,Варено-копченая колбаса,4267,429,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2020-05-04,2025-03-01,3.93,Sold
180,Авокадо,9853,11,Фрукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2007-04-13,2027-09-03,1.94,Backorder
181,Бастурма,3988,833,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2000-03-02,2021-03-10,0.05,Available for Pickup
182,Цветная капуста,5194,946,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1999-05-08,2013-01-24,1.84,Pending
183,Лен семена,7593,290,Бакалея,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2012-05-16,2027-07-05,5.01,Awaiting Review
